,SS_delay,SS_duration,SS_stimulus,SS_trial_type,att_check_percent,block_duration,bottom_stim,correct_response,correct_trial,cue,current_block,current_trial,directed_forgetting_condition,exp_id,final_accuracy,final_avg_rt,final_credit_var,final_missed_percent,final_responses_ok,internal_node_id,key_press,possible_responses,probe,responses,rt,stim_duration,stimulus,stop_acc,stop_signal_condition,text,time_elapsed,timing_post_trial,top_stim,trial_id,trial_index,trial_type,view_history
0,,,,,,5586.0,,,,,,,,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-0.0,13.0,[13],,,5586,5586.0,<div class = bigbox><div class = picture_box><p class = block-text>Welcome to the experiment. This experiment will take about 30 minutes. Press <i>enter</i> to begin.</p></div></div>,,,,5586,0.0,,feedback_block,0,poldrack-single-stim,
1,,,,,,,,,,,,,,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-1.0,,,,,57268,,,,,,62856,,,instruction,1,poldrack-instructions,"[{""page_index"":0,""viewing_time"":19748},{""page_index"":1,""viewing_time"":6085},{""page_index"":2,""viewing_time"":26692},{""page_index"":3,""viewing_time"":4742}]"
2,,,,,,500.0,,,,,,,,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-2.0,-1.0,none,,,-1,500.0,"<div class = centerbox><div class = fixation><span style=""color:white"">+</span></div></div>",,,,64362,0.0,,practice_fixation,2,poldrack-single-stim,
3,,,,,,2000.0,,,,,,,,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-3.0,-1.0,none,,,-1,2000.0,"<div class = bigbox><div class = topLeft><div class = cue-text><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/P.png""></img></div></div><div class = topMiddle><div class = cue-text></div></div><div class = topRight><div class = cue-text><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/V.png""></img></div></div><div class = bottomLeft><div class = cue-text><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/Z.png""></img></div></div><div class = bottomMiddle><div class = cue-text></div></div><div class = bottomRight><div class = cue-text><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/Y.png""></img></div></div></div>",,,,66367,0.0,,practice_stim,3,poldrack-single-stim,
4,,,,,,1000.0,,,,,,,,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-4.0,-1.0,[],,,-1,1000.0,"<div class = bigbox><div class = centerbox><div class = cue-text><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/TOP.png""></img></font></div></div></div>",,,,67371,0.0,,practice_cue,4,poldrack-single-stim,
5,,,,,,2000.0,,,,,,,,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-5.0,-1.0,none,,,-1,2000.0,"<div class = centerbox><div class = fixation><span style=""color:white"">+</span></div></div>",,,,69374,0.0,,practice_fixation,5,poldrack-single-stim,
6,350.0,500.0,"<div class = bigbox><div class = starbox><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/stopSignal.png""></img></div></div>",go,,1000.0,"['Z', 'Y']",90.0,1.0,TOP,0.0,1.0,con,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-6.0,90.0,"[77, 90]",E,,824,1000.0,"<div class = bigbox><div class = centerbox><div class = cue-text><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/E.png""></img></font></div></div></div>",,go,,70377,0.0,"['P', 'V']",practice_trial,6,stop-signal,
7,,,,,,1000.0,,,,,,,,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-7.0,-1.0,"[77, 90]",,,-1,1000.0,,,,,71382,0.0,,practice_ITI_fixation,7,poldrack-single-stim,
8,,,,,,500.0,,,,,,,,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-8.0,-1.0,none,,,-1,500.0,"<div class = fb_box><div class = center-text><font size = 20>Correct!</font></div></div><div class = prompt_box><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">Please respond if the probe was in the memory set.</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">In memory set: M Key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">Not in memory set: Z Key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">Do not respond if a star appears around the probe!</p></div>",,,,71888,0.0,,practice-stop-feedback,8,poldrack-single-stim,
9,,,,,,500.0,,,,,,,,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-9.0,-1.0,none,,,-1,500.0,"<div class = centerbox><div class = fixation><span style=""color:white"">+</span></div></div>",,,,72393,0.0,,practice_fixation,9,poldrack-single-stim,
10,,,,,,2000.0,,,,,,,,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-10.0,-1.0,none,,,-1,2000.0,"<div class = bigbox><div class = topLeft><div class = cue-text><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/H.png""></img></div></div><div class = topMiddle><div class = cue-text></div></div><div class = topRight><div class = cue-text><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/X.png""></img></div></div><div class = bottomLeft><div class = cue-text><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/K.png""></img></div></div><div class = bottomMiddle><div class = cue-text></div></div><div class = bottomRight><div class = cue-text><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/G.png""></img></div></div></div>",,,,74397,0.0,,practice_stim,10,poldrack-single-stim,
11,,,,,,1000.0,,,,,,,,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-11.0,-1.0,[],,,-1,1000.0,"<div class = bigbox><div class = centerbox><div class = cue-text><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/TOP.png""></img></font></div></div></div>",,,,75400,0.0,,practice_cue,11,poldrack-single-stim,
12,,,,,,2000.0,,,,,,,,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-12.0,-1.0,none,,,-1,2000.0,"<div class = centerbox><div class = fixation><span style=""color:white"">+</span></div></div>",,,,77404,0.0,,practice_fixation,12,poldrack-single-stim,
13,350.0,500.0,"<div class = bigbox><div class = starbox><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/stopSignal.png""></img></div></div>",go,,1000.0,"['K', 'G']",77.0,1.0,TOP,0.0,2.0,pos,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-13.0,77.0,"[77, 90]",K,,720,1000.0,"<div class = bigbox><div class = centerbox><div class = cue-text><img class = center src=""/static/experiments/stop_signal_with_directed_forgetting/images/K.png""></img></font></div></div></div>",,go,,78408,0.0,"['H', 'X']",practice_trial,13,stop-signal,
14,,,,,,1000.0,,,,,,,,stop_signal_with_directed_forgetting,,,,,,0.0-0.0-14.0,-1.0,"[77, 90]",,,-1,1000.0,,,,,79412,0.0,,practice_ITI_fixation,14,poldrack-single-stim,
